data,example,nonexample,unknown
"@RealBenCarson - Pledges To Defund #PlannedParenthood, ‘Prosecute Them For Crimes Against The Unborn’ https://t.co/LAm35La9es @BreitbartNews",0,1,0
@marcorubio https://t.co/Y1hTx9n6w2,0,1,0
@realDonaldTrump @sevigny_rob @Belizediver88 @CNNSitRoom @CNN @megynkelly YOU DON'T NEED THEM...IT WILL BE A TRUMP MUDFEST!!!,0,1,0
@HillaryClinton I don't know why you're not capitalising more on the fact that you could be the first female president.,0,1,0
"@realDonaldTrump Americans fed up w/ politicians lying to us &amp; wrecking our country, seems 2 be on purpose. Don't fall in line!#Trump2016",0,1,0
@HillaryClinton   What's your involvement in #TheRockefellerInitiative?  #TheTruthIsOutThere   #Disclosure  https://t.co/zsSdrde7nt,1,0,0
@realDonaldTrump is the religious guy when he's the first to have strip clubs in his casinos? That is found in 2 Corinthians? @glennbeck,1,0,0
@realDonaldTrump Spoiler Alert! #Trump2016,0,1,0
@HillaryClinton is the only candidate that has the experience in order to keep @realDonaldTrump out of the White House #ImWithHer,0,1,0
@realDonaldTrump @Sharp_Trident @megynkelly can't believe she is allowed to moderate,0,1,0
@marcorubio who ?,0,1,0
@JebBush @MSchultz16,0,1,0
@realDonaldTrump Go Donald! Would love to have u in Savannah Ga,0,1,0
"@realDonaldTrump if you're going to dish crap out, be an adult and take it like a mature adult. Sometimes you come off more child than adult",1,0,0
@realDonaldTrump @puttster71 @rustyßyysyfyßyyrsÿdstststss,0,1,0
@HillaryClinton  that 1 vote about Iraq that you so easily dismissed as 1 vote killed alot of people..#gwbush#clinton#wmd#lies,1,0,0
@HillaryClinton It's a big deal that could energise women and male allies everywhere to show up and vote.,0,1,0
"@realDonaldTrump @CLewandowski_
Don't skip debate; knock Megyn out at first sparky question. You can make her cry https://t.co/6AsMCi7HR4",0,1,0
@realDonaldTrump @NObamaHitler761 @xxFlame @bobvanderplaats  Donald should stfu...he sounds like a retarded 12year old...#ImpeachObama,1,0,0
@realDonaldTrump @xxFlame @bobvanderplaats Bet everyone on the playground wanted to beat the crap out of Cruz and his lizard lips !,1,0,0
@realDonaldTrump @laurencristmann @Sharp_Trident @megynkelly Using Kelly again is being provocative. Debate is about the candidates not FOX.,0,1,0
"@JebBush Hi Jeb, if your brother (who I admired as a Godly man) could not give the power back to the people. Tell us how you will be able to",1,0,0
@HillaryClinton Young #Iowa Voter Tells #clinton People Find Her #Dishonest &amp; Her &amp;Campaign Lacks Enthusiasm https://t.co/RXVBnLyAsR,0,1,0
@realDonaldTrump   i just heard on news that voters will have to show proof of ID.. that is wonderful bec we know how obama was elected.....,0,1,0
@HillaryClinton true and it could happen if you and Bill just leave,0,1,0
@RealBenCarson Friendly demand if a #startup/#entrepreneur incorporates they are entitled to a public defender lawyer to help with biz law,0,1,0
@HillaryClinton #Benghazi is an issue because your lack of conscience caused numerous unpardonable American deaths! https://t.co/MTigYuKMpy,1,0,0
"@realDonaldTrump @greta 
Trump will eat her alive......",0,1,0
@HillaryClinton   #TheTruthIsOutThere   #Disclosure   #TheRockefellerInitiative https://t.co/ElGOJR7QfH,0,1,0
@realDonaldTrump @Sharp_Trident @megynkelly Kelly needs another PR manager. This one has her wasting her talent. She will go back 2 modeling,1,0,0
@BernieSanders @CarolCNN @cspanwj @CNNAshleigh @Vets4Bernie #FeelTheBern @HillaryClinton @NewsHour   https://t.co/VhZ4f1BX6O,0,1,0
@ChrisChristie please bring your mop &amp; clean up the mess you made in New Jersey. #TellingItLikeItIs #fundnjpension,0,1,0
@tedcruz @glennbeck @realDonaldTrump https://t.co/KRpToB9vQE,0,1,0
"@realDonaldTrump Sir, do keep all your promises made that we be not ashamed to have supported  you. Conservative Judges only for POTUS.",0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats people are beginning to hate you trump,0,1,0
@realDonaldTrump  Go Trump!! We love you!!,0,1,0
"@JebBush 1.We really need to understand the goal of radical islamic terrorism. 2. We really need to understand the Tools, méthodologies and",0,1,0
@realDonaldTrump @megynkelly Agreed.  So many fair &amp; balanced women @FoxNews capable of doing an honest job.  #ban Megyn,0,1,0
@JebBush stratégies they using to reach this goal.3 . We need to understand their agenda. 4. We need to understand their value chains and,0,1,0
@realDonaldTrump @WhiteJacketPink @MyPresidentme Glenn Beck is a high school dropout who failed as a DJ,1,0,0
@ChrisChristie @njdotcom @News12NJ  https://t.co/FbVXKvCtG7,0,1,0
@tedcruz @glennbeck @realDonaldTrump TRUMP ALL THE WAY!!,0,1,0
"@HillaryClinton hun, he would need to have achieved progress to build on it",0,1,0
"@realDonaldTrump @puttster71 @bobvanderplaats In other news, ""My Daddy's bigger than your Daddy."" Pfft.",0,1,0
"@JebBush ecosystem. 5. We need to have the pyschological approach of terrorism. 6. Find the short-term, middle-term and long-term",0,1,0
@realDonaldTrump @Kotcha301 @puttster71 @bobvanderplaats YEP!,0,1,0
@BernieSanders @CarolCNN @cspanwj @CNNAshleigh @Vets4Bernie #FeelTheBern @HillaryClinton @NewsHour   https://t.co/ORDbv9mAaW,0,1,0
